sentence,llm_label
"Like if we were any other company, when we started a beta program in this last year, what would be announcing is GA at commit?",0.0
"So if they don't apply to that stage, don't worry about it.",1.0
"Yeah, so I was trying to I was thinking of like, you know, if you're like if you're in a race car and like you go like super super fast like let's say you're in the bike race, right?",1.0
"So in theory, this could be the same as the GILAP14 lunch where we're saying basically since 13.0, what kind of big improvements have we made?",0.0
I was adding the link there.,0.0
It's tied back to your user IDs so we can track which team you're on and that kind of thing.,0.0
And there's also if you scroll down stays level trends as well.,1.0
And now we're going to stick with the green.,0.0
We did this one is a PR driven to some degree.,1.0
So I think if this team can take the mission to like try to help track that down.,0.0
"So, Samia, you have some questions here.",1.0
I often say thank you little eight pound five ounce baby Jesus with the golden diapers.,1.0
"No, sorry.",1.0
"It's not, it's not obviously negative.",0.0
Scott just a quick question to you.,1.0
So I just I hadn't seen it in Scott but I searched my email real quick and it looks like that's the title of the email so if you just search for that in your in your Gmail you should be able to find it if you got it.,1.0
That's that's why I put this one at top was for that parity.,0.0
We could have either vulnerability management or I was when I've been struggling with a little bit as I'd like to kind of group the some of this the proprietary scanning without making it sound like they're scanning improvements because that sounds like they weren't good before.,1.0
Brian.,1.0
And so we'll release those two as they come out we'll embed them in the how we work description or team page as well.,0.0
There's several key iterations aligned with Giddyly cluster.,0.0
"Yeah, I think I was inclined to group some things to say like vulnerability management because there were tiny little MVCs all the way along, but if you look at over the course of the year, we went from this to this, it makes more sense to me to highlight that than any individual little thing.",0.0
I don't think we can leave them off.,0.0
That was the point.,0.0
I need to go back and look at this spreadsheet.,0.0
"So you support as a PMM, your campaign manager does the campaigns for that event, etc, etc.",1.0
Let's just do this like top top five overall.,0.0
But that looks good and I appreciate.,0.0
This is the one for the single two comparison.,0.0
"I've done a similar, I've taken a similar approach for monitor with incident management.",0.0
We're just focusing on tier one right now.,0.0
"I just, we just use the tier one competitors and if they're not, if they don't, are not applicable, then we don't have to fill out anything for that.",0.0
And that I think that's a pretty good note as well.,1.0
I really liked what's the other one that I like that not everyone does.,1.0
So that's kind of where it's coming from.,1.0
Just wanted to make sure you all saw that.,1.0
"So there was these ones that said like, from roadmap to company vision, we are transparent and a single source of truth, countless possibilities.",0.0
Right that's what I was saying is that the fuzzing we already did press on.,0.0
That's like saying like 100% secure.,0.0
So please do read that.,1.0
I thought it was within the past year.,0.0
So maybe we can do like five minutes kind of like just just time box and kind of look at these here.,1.0
"So if you get the commitment specifically from your campaign managers, hey, like we're signing up for CUBECON.",1.0
But we have a really strong candidate for that fourth slot.,0.0
What do we call it?,1.0
We hired Gabe Weaver.,0.0
CS and sales have populated that with the number of customer contacts for meetings.,0.0
We were something around there.,1.0
"Put everyone in the gym or like convert the half cafeteria gym, you know, take away the big barrier between it so that we can have more room and then take those carpets that have never been cleaned and just you know sit on them and it'll be great.",1.0
Now I'm just going to I'm going to ping you on this core back to add add a top five plan.,1.0
Me it's strong all those are you know cool.,1.0
All in one for everyone.,1.0
Thanks Scott this is Kriina just to add to that if you don't mind.,1.0
And then so it sounds like kind of y'all's thoughts are that's that's good as well.,0.0
"Certainly, it's something shifted a lot of people are using it, the MAU.",0.0
I wanted to start out with some reminders.,1.0
All that's to say is the assignment here was that I took it was to write a pithy few words like punchy statement for each of these three things.,0.0
So my thought would be is there a way that you can start sharing you know or applauding good examples of this so that the product team can start to kind of ruminate on this and develop that skill if if we're not there yet.,1.0
And so homework for this weekend.,0.0
"So, we'll do the other ones in a later stage.",1.0
That's probably why I cut and paste them because those are all tier ones.,0.0
On Slack only and on the issue actually.,0.0
Yep perfect.,1.0
There's being the audience coming in and not knowing anything about these specific stages.,0.0
So what's the difference between that slide and the next one that doesn't have anything under security?,0.0
"Alternatively, if there are double digit entries, then we can stack rank.",0.0
Just go through the list of what shipped in the last 12 months and we'll re-buck at that.,0.0
This should be like a helpful page.,0.0
In my case some of the features also just have no UX component.,0.0
So we have the the jurist of is pretty good.,0.0
There was a webinar that used to happen at Cold Relaced Rader.,1.0
"Now, depending on how it's asked for, maybe that means it's exciting or it's not, right?",1.0
The nutshell here is as we've kind of restructured and tried different things.,0.0
"I actually, if you read the thread, I've brought that up, but she said we can't do it like right now, which I understand.",1.0
"For example, cloud beads may not be relevant for monitor stage at all.",1.0
There's an OKR issue out there.,1.0
Well let's you know let's try to this is due Tuesday I think we want to try to get this done.,1.0
Can we just can we reuse some of those things and plug them in here?,0.0
"So, and then this was the father that I got.",0.0
It's been a little while.,1.0
"Yeah, I like this one better.",0.0
And then the assignment that was given to me was to fill in these boxes here.,0.0
You want to talk about that?,1.0
And then the last thing I'll say is so this is this was my attempt to channel my inner ash withers.,1.0
There's no UI component that could be being shot in.,1.0
So I've talked myself out of not liking that.,1.0
So it was mostly language wherever that showed up in the handbook.,1.0
"So let me ask, I saw some Slack, I think in our Slack, but did you all, were you all able to connect with your GTM teams?",0.0
Please do follow up on that.,1.0
To kind of add to the time just a feedback I was timing myself this time and I had two features listed and I hit three minutes in 14 seconds obviously he's shortened that so when we talk about you know I think somebody mentioned doing two or coupling it down it's interesting that I landed there with the two that I chose.,1.0
"So I gave it a three excitement level I wasn't sure exactly where to place things, but I figured I wouldn't like the Cindy's comment have something that's a one here anyway, but the only way I could make sense of like the iterations was to bucket them as something.",1.0
That plan editor's definitely an option for CI CD.,1.0
"You know, so that just so that they can get that that event support.",0.0
It's a little bit different than saying it's about our internal opinion like that we should we had always said we should validate it so the clarification is good that we want to make sure it's about us saying this is in line with where we want to take the product and where we're hearing customers but if an internal customer wants it we should we should do original thinking was that we should emphasize it.,0.0
"Well, they all do for tier one except Jenkins and Cloudbees.",0.0
"So that's the that can be the line, yes or no, whether you can use the thing for a lot of businesses.",1.0
"Same with configure stuff for this, you know, any, those kind of capabilities.",1.0
Like we don't we don't often stop as a company and just kind of look at our wins.,1.0
It was last summer right?,1.0
If we aggregate it all it's a bummer that customizable value stream analytics is 12.9.,0.0
So this is a little bit of a messaging framework.,1.0
Don't try to do it all at once we're going to have to work our way through.,1.0
"You know, how about just more speed less risk with confidence?",0.0
I don't know feel free to continue to suggest tweaks.,1.0
"I'm just like, what is what is your feeling based on, you know, could be anecdotal like you talked to customers and they're like really hyper excited about this?",1.0
"Maybe we can just you know, we should reserve a spot for plan but I'm going to have to go through and do some aggregating after this.",1.0
I don't know that any one of those needs to kind of be exclusive.,0.0
So thank you to everyone who's been involved in the hiring loop.,0.0
I really like the first one just more speed less risk.,0.0
What is what are they?,1.0
I think it's okay to be pretty brief in your description as long as you're hitting what it is and if somebody's really interested they can dive deep thematic is a good idea.,0.0
Who could look at first?,1.0
So I'll ask Jessica to send it to Fabia and Karina.,0.0
"So, but I'm going to point it out.",1.0
I need to get it to you.,0.0
Maybe that would encompass both thoughts.,0.0
I think the point is when you're thinking of customers for your thing think of our internal teams early like you can get great feedback from them they have an incentive to work with you there's very little risk in rolling out things early to them so treat them like a customer and think of our internal teams early as you're rolling something out that's still very much the message but let's not over rotate on internal feedback or internal opinion let's still see external feedback too because that's just one customer of many.,0.0
"So I guess the next, so it looks like tie put in some folks.",1.0
"Yeah, so you could say secure and control your software factory and it's deliverables.",0.0
"No, but you can say more speedless risk.",1.0
So yeah I think like in general there's a lot more value if we can show something like that so you know product managers you can consider that you should feel free that you know you're empowered to take a tool that you're comfortable with even if it might even be just like Google Slides and make something that gets you at least a part of the way there in terms of what you want to experience to look like.,1.0
It's highly aligned with how I think about product management and does a good job of explaining why some of these things are important.,0.0
It looks like this looks good so that let's see needs support from GTM teams.,0.0
That's almost kind of like you can you can keep going like faster and faster and faster.,1.0
Okay thanks Kenny for starting the issue.,0.0
"Let's just the way I think, right?",1.0
3C I thought the talk track shifted and I was definitely more a problem focused I noticed a number of speakers really trying to zero in on that which is perfect some of them could have been more problem focused I thought and so just keep keep considering that as you as you yeah it's important to be able to pitch these things in ways that people that aren't close to it can understand and so just think about that how do I explain this to someone who's cold who doesn't know a darn thing about this why should they care that getting that crystal in your in your thinking is going to be important no matter what so it's time will spend.,1.0
It's hard when it's in tabular form but when it's charted it's much easier to see like if it's achievable or not based on some of the trends.,0.0
"This is I just put here so that I would have like the original statements like, you know, automate nearly anything, collaborate on everything.",1.0
James over to you for number four.,1.0
But we also have in terms of proprietary stuff we've also got we replaced one of our scanners with SEMGRIP and we did we have our own proprietary dust scanner now that's in it's in beta called brow zirker so it's our answer to scanning single-page applications which represent a unique challenge.,1.0
"So I just, I don't know, I like, I just think so.",1.0
Actually let's just let's actually just do that.,1.0
Or the next week we'll watch Step Brothers.,1.0
I now would agree on that one and I would say that some of these we did do some press around and the the fuzzing acquisitions was one thing so we might not get it out of that.,1.0
"And I think that lends itself to working with, you know, all the co-optition situations we're talking about.",1.0
How are we measuring excitement levels?,0.0
We always feel at risk or less risk.,0.0
It's being less good.,1.0
Let's let's go with vulnerability management for now.,1.0
It's something riki Bobby would have said.,0.0
"But then for the, but it's going to look the same.",0.0
Just forget it again my rimp sorry I got a couple of things I think we definitely have a stronger definition that I've done as part of progress is delivery right and so part of something done is it needs to run at scale and getlab.com successfully and not below the cost model not below performance and if it does it's just getting to be reverted frankly and that should be the bar for getting features across the line that doesn't mean for new features you know that have low usage that you know I was they're impeccably quite small but these still it needs to be within reason I totally agree that you don't want to over build on the first iteration for planning for millions of users because that's just making a sense but yeah I think that's one aspect I think their aspect is that on your comment press run pricing and we can maybe have a fallout here on like a handbook update but I think it's interesting that customer ritual absorb the cost on self-managed of compute and so for them if they want to have a ridiculous number of you know mirrors then you know it's fine because they're paying for it so use cases on their dime and so maybe a way to think about this is to have some level of controls you can set if you want to use the several that sort of I don't have have some way to control that in a matter of behavior for when we're covering the cost of those things but yeah anyways thank you all great topic Christopher please pile on that issue with thoughts on how to how to handle this like you're suggesting on definition of done Josh all right Karina six and seven yes so I submitted an MR for the product template yesterday and we're going through this process of getting more self-organized in the release area and with our engineering and user design partners and you know one of the things that we recognize and it's documented in the issue below in number seven is you know one our delivery percentage has not been great what you heard me talk about but it has been a complete ramp that we need to self-organize around some method and what we found and sort of the last prioritization for a release scope is that we have a lot of oversized issues and features that you know honestly need a need a beat or a release to go through user research maybe look at the code if they've never seen the code you know reviewed that piece of code before or makes the recommendations on the best way to solve so I put some thinking around you know that sort of you know that dual track mindset dual track agile kind of launching off of what user experience has recently updated for dual track agile so feedback on that and then the second piece is that this experiment or running is releverging semi dual track agile approach just to organize our conversation how we open issues for areas that we need a discovery beat versus presenting an issue that is actually ready for delivery one thing that was interesting Scott we were talking about you know just the kickoff call and having some you know you know images and and more to share that's definitely where I think we'd like to be with release is getting ahead of that curve and really having some concrete understanding and prototypes of what we're trying to to present and deliver but when we looked at sort of kind of going through that process you know this is really four complex things or heavy lifting because you know it is about a 20 to 30 day lead time to commit so just and so we have some targets um to improve um you know our hypothesis on leveraging this um you can follow it there if you have input but um it could they kind of tie together but I love input on the handbook piece thank you Karina for creating these and sharing these I think you're on the right track um in parallel I've been working with like Christopher and Eric and Kristi to outline a high-level description of our software development life cycle which will have two tracks this is sort of competing content there or maybe or maybe they could be merged so thank you for doing this I may slow roll it a little bit to make sure that we have one way of describing the flow we'd like to go through but thank you very much for getting it kicked off any questions for Karina if not Josh what do you yeah just a risk announcement you just went through renamed the promised label to playing priority um general meaning is large of the same although we shouldn't be promising features and so this is just a way to flag it um and uh that way it's reminder for pms that this issue had some importance left with additional dependencies um and so just be aware of it um so you can feel free to use it um I did note in the label text that it should only be applied by product managers and in particular the responsible five manager for that section um so it shouldn't be applied by cams or anyone else so awesome I like that terminology a lot better thank you Josh all right five minutes of spare anything else if not have a great Tuesday what are yours,1.0
"And if somebody like jumps out with a sign in the middle of the racetrack, you're not going to get tripped up by it because Git Labs, you know, it's testing is going to catch that.",1.0
That's all just folks.,1.0
And and treat as a stack rank rather than just like a raw excitement level that doesn't necessarily hard to somebody's one or somebody's three may be more important than somebody else's one.,0.0
Yeah I mean I don't even if we said every person has one minute I feel like we're doing it this service because we're now highlighting much less because we feel like we have a time constraint and need to keep it into one synchronous 30 minute block.,1.0
I thought we had in Slack sort of farm to each one of them out.,0.0
Then we'll look at those other.,0.0
Let's put some rent on there.,0.0
So are you saying that you see competitors on that tab for a stage where they don't apply?,0.0
We hired a couple more PMs.,0.0
"Yeah, ideally there's just you know three you know three and I was per stage and then I think y'all made some good notes that okay, we need to add manage.",1.0
"Cool, so I'm just trying to catch up with the thread.",1.0
"This, this was the honestly so that so when I first got this, it didn't have this and it didn't have anything under security.",1.0
I think it's okay.,1.0
So just pick the ones out of that list that apply to our stage.,0.0
"See you soon.If it's like my family, I definitely have no subjects.",1.0
It's security is going to catch that.,0.0
No I would please don't conflate the two.,0.0
So I concur that maybe configuring monitors not as descriptive as it could be.,0.0
I don't like the last one.,1.0
Which between between the proprietary ships of the vulnerability management which would you pick as number one out of those two?,0.0
And in that case like I was like I'm so thankful I have a screenshot even though that one is actually not a high-fi mockup it's more it's more low-fi it's a little bit piece together.,1.0
I guess that kind of bundles the quality and the security together.,0.0
"Can you comment on the issue that yes, I can commit to this, etc, etc, etc.",1.0
So much room for activities.,1.0
"Maybe you can only give out one, one, two, or three.",0.0
"There's a couple of things and integrations with VS code that could be notable, but I can I show what I did for SCM just to get some general feedback on it and if someone hasn't done it maybe that'll also okay.",1.0
Josh did a great job of creating some new views.,0.0
You're not with the amount of tabs I have opened.,0.0
"So if we have three for all of these, that, I mean, it looks like we're going to get there and that's going to be quite a lot of features.",1.0
"But the place where it will, so actually I'll share one thing.",1.0
We made a couple decisions along the way.,0.0
What do you guys think about the colors?,0.0
"So to be back, I got one person to respond so far.",0.0
Several that rolled up to a research-based user experience and I was thinking like I was shy on calling out UX as a bucket except that actually that's that's super typical.,0.0
If you haven't updated it lately please do so.,0.0
"So each sheet has has a DO at last year in GitHub, Jenkins, J.Frog and cloud beads.",1.0
That's another great one.,1.0
I'm going to run this once a month in Q3 just to take a pulse given all the change going on.,0.0
"Honestly, I think this ones are like really pithy and catchy.",0.0
"There was a community module, but now it's officially supported.",0.0
I love that one.,0.0
"Yeah, do you all, does anybody have like a regular sink still?",1.0
"So, so the way this is getting built is off of a data model.",0.0
Yeah I just thought I'd uh share this um for many I think many on this call haven't heard Mark Kumsbach speak about um product discovery sprints that he advocated that there's quite a number of times previously um from his experience reckoning these at a prior company um so the idea is kind of different to a uh I guess a UX discovery sprint I think Fabian linked one of the books about that where it's really focused on UX iteration and research um the product discovery sprint is more focused on kind of like actually building something iterating on something that's built and trying to get to some sort of NVC really quickly by trying to make the process more synchronous so um the source code group is going to try and do that around file by file def navigation to solve performance and usability problems um in 12.3 um and I thought it would be interesting to share that because internally we've been wrestling with like how to make this work well in async slash remote environment um so we're looking at trying to confine the participants in a specific time zone so that we can all be available with a significant amount of overlap um but that's also difficult because we have it kind of excludes automatically 50% of the team who are just geographically remote from any of their peers we only have one UX designer that's only available in the European time zone so um some interesting challenges there if it goes well we're going to try and replicate it um a release or two later on a different problem that is also really complicated and hard and we want to make progress on quickly but I'll share any findings we have and if anyone's interested in discussing that with me more um put a meeting my calendar or drop me a message this is great James by the way I think the UX team is going to run well let me just say we have the option to run one with Google Ventures who's one of our investors in that sprint book that Fabian Link 2 was written by a guy from GV they did hundreds of these things with our clients they know what they're doing so if we get a chance to do one with them we should uh we're gonna have to figure out how to do it within our async model though so whatever you learn from yours James please feed that back a super interesting topic I think if we could get good at this asynchronously that would be a breakthrough yeah I think one other interesting challenge is that the sprint sort of terminology is kind of challenging and like it's not sustainable to be doing design sprints or discovery sprints on a daily basis yeah whether or not we were in person or not it's not scalable to actually sprint all the time so choosing the right task is choosing the right time um is I think one of the other challenges I agree yeah you don't want to do this for everything because well if you follow the to the letter it takes a whole week and you're totally dedicated to it which is amazing for focus sake but you can't get anything else done so depending on how we structure this it would need to be done for things that are really big unknowns where dedicating a huge chunk of time like that is worth it and not everything clears that bar yeah I think it's also most relevant for for stages that are very in very interesting in the very beginning kind of like that tyron was like one of their biggest example for Google Ventures when they obviously like solving clinical trials for the world is like super complex problems so they just figured out what is this a thing that we can do so that we can start getting there and I think these are the problems that the design sprints use we used it pretty successfully at my last company around pricing and packaging stuff and ran a bunch of interviews with customers on that so I've seen it work all right okay Christopher number five yeah just want to call out we've over the past month we've had a significant number of outages related to .com and the effect that at least one customer revenue potential and because of that you know we've had some some focus from an executive so I encourage everybody to look at that document you kind of look through it in particular as a couple things from an engineering perspective make you aware of one is as we started infrastructure to development board where we're going to start matching issues up and trying to make sure that if that those could prioritize highly where appropriate particularly for anything that you know affects performance around these issues the other issue that I put in there was one around that's listed specifically which is around the fact of prioritizing p performance availability work so one of the significant features of this up to go recent outage last week was that the register apparently can't handle the load anymore we started digging into it we found a bunch of stuff that we hadn't checked like for instance it's an example rj unit test we're basically going and getting cached and there was no limit on the number of unit tests that could actually be cached so they were getting these like blocks of like several megabytes of data that had to basically be transferred around and read us and that's really what's affecting its performance overall from a caching service perspective so consequently Scott I said that to you I hope that's okay because it feels like it was like you need to help out when it hurts the effect of you know how do we best make sure that we get this kind of systematically going and I just want to make sure that everybody was aware and just kind of open up for discussion if there were any questions or or any feedback or early feedback on it from my perspective I added some comments to it Christopher okay I have an add a chance to look at Paul just about that problem can I ask do we and maybe Mac this is a question for you do we categorize performance issues as bugs we do have a performance label but they should be under under bugs okay yeah this is an example where oftentimes the way we treat performance is a reactionary this is trying to think about a more in a proactive way so like as an example I'll give a horrible example but when I worked at Amazon tags originally when Amazon was created tags were they were expecting this to label you know certain instances and that was it and it turns out that all customers started using like 20 and 30 or 50 tags and they're like what the heck is going on and they realize tags were being used to basically you share environmental information so the VMs could they could put the same drop a code on two different VMs and they could behave differently based on the tag which was a total novel way for customers to use it so then they had the basically limit the number of tags they could use because it wasn't scaling with the system effectively so like this is kind of another example where like I think we got to start thinking in terms of you know like when we create something new a new feature of piece of functionality like what's the cost associated with that right because like it does cost something internal and I'm not asking product managers to necessarily think in terms of the exact bytes but I am turning to think in terms of like you know what are the expectations around it because like as an example if we went back and looked at G-Unit tests and reporting you know if we said unlimited that's you know that's a tough engineering call right particularly I guess it's free right now for customers so this is a minor standing we also don't have a number of reposmire we don't have a limit on that and that that seems dangerous yeah so I guess I would comment you know I think the product team is expected to prioritize all things and to understand them deeply whether they're a security issue or a performance concern I think what you're highlighting is in order to be proactive I don't know if the product team would immediately know the impact of a proposed change but maybe that's an opportunity for our infrastructure SRE stable counterparts to be involved in vetting and looking at issues early in the pipeline to decide whether or not they would yeah or or let's say we're implementing a feature like let's say we were implementing mirroring from scratch like the first question we should be asking is is like how many how many mirrors is a customer expected to be able to support and what I want to start charging for if they get above a certain limit and you know and right now we don't and you could argue that scaling is just a much a reason for customers to start paying us as his feature sets that's that's that's that's kind of the argument I would do because those things cost money like whether we like to admit it or not yeah Christopher I would agree with you on what you're trying to sort of shape up and call out here in the sense of you know going through pages for example the performance of getting those page loads loaded is not great and I don't know if we set out originally to track some of those performance things but I think that performance and into your point can I think performance should be somewhere incorporated as we move forward and something we should be thinking about for scalability across the board because it's just as important as bringing forth that really cool thing to them is that that really cool thing works and people will stay there to use it.,1.0
"Yeah, for now, but then we'll move to tier two and tier three.",1.0
The riki Bobby in me really did like the no trade offs of that Parker.,0.0
We just have a ton of speakers which I love that lots of people get a chance to speak so I'm good with that but we're going to have to we're going to have to limit the number of items probably so it looks like there's some other ideas in here perhaps themes.,1.0
And I think this is due at the end of the day so any additional thoughts I'm actually going to untag.,0.0
"So I you know forgave myself for doing something at first that was kind of like shy about calling out UX and bucketing some things there, but actually when I looked around that's pretty much how everybody does a big launch.",0.0
They're like squares of carpet.,0.0
"That means to say that means nothing to me looking at this, this page.",1.0
"But in the next iteration, you'll click on verify and it'll go down to the list of the 15 features.",0.0
So that's what I wanted to check through.,1.0
But I don't know.,1.0
It was like late Thursday for me.,1.0
I think I've seen the new infographic that the design team has come up with.,0.0
So anyway that's one thought I had on this.,1.0
"Okay, I'm going to go with more speed less risk.",0.0
And so like this kind of idea like single source of truth countless possibilities or all in one for everyone.,1.0
"You know, there's something to be said to that.",1.0
I'll look through for some other examples.,1.0
And it's deliverables.,1.0
And we don't have a ton of items to get to.,0.0
Okay we very much still want to dog food.,0.0
"And also, Brian about the VS code thing.",1.0
We got a good rhythm going on hiring.,0.0
Yeah I mean some commentary I don't know or Nicole added that yeah many of the issues we're saying we're going to do UX front end and back end in the same iteration so it hasn't started.,1.0
"William, I don't know.",1.0
And then actually let's start here.,0.0
"Yeah, this is this is mine.",1.0
I think that's really goofy.,0.0
I don't think anybody tests up.,0.0
They may not be relevant.,0.0
Are those all been canceled or is there a separate one?,1.0
"So this is this is our attempt ahead to that area is to say like these are the announcements of the event and yeah, maybe it's some things that have been around for a while but like now they're at a level of maturity.",1.0
Catch it okay one comment on ahead on this is that some of the tech seems like we should focus on core competencies as opposed to new scope and like as in we should focus for example or best at.,1.0
Why do I care?,1.0
I think I think in some cases like a picture can be worth a thousand words.,1.0
I think it was in the last little overs expanse or so.,1.0
"Performance is very much a feature and should be considered that and um I think particularly in categories where adoption is still growing and at early stages of maturity performance like understandably is less of a concern because there's lower usage so like solving scale at like an enormous level doesn't make sense commercially like necessarily when usage is small so there is a bit of a juggling act here because we don't want to build a product for billions of users if there's only I don't know 20,000 users experimenting with our newest feature so there's an iterative approach that needs to be taken but I would agree that particularly coming from a team that's digging out a lot of technical debt and solving a lot of performance problems all the time we're probably historically not being very good at picking the right moment to pay off technical debt and address performance problems until they become fires so yeah so to to that point just real quick James and sorry Scott um I think some things are obvious like when we look at our progressive deliveries um strategy I think that we like if you look at something like feature flags or something like that like that's something that I think is going to be like I wouldn't imagine that that's not going to be a key feature that we're going to bring forward um so I feel like that should be a give me on whether adoption has yet struck or not but the second thing that is not clear to me like again when I was interviewing Marin about dog fooding is that I noticed that Marin's like we don't this isn't we weren't they didn't come to us first and so this is not scalable or this is not usable for us internally and so it's like the the approach and process moving forward to dog food in the right spots is not clear to me or you know what the best practice has been or if anybody's you know crack that yeah I can give a concrete example is I did a call with Marin a few months back around confidential merger quests um so we knew that customers wanted to resolve them we knew that we wanted to do that and that we're trying to get rid of dev.gillab.org so I had a video call with him and a bunch of async conversations with like well I've got these ideas for what a first iteration looks like and then we did a few calls and worked through them and worked out which were the things that needed to happen and so we're shipping the first iteration of that in 12.1 but we coordinated with them and spoke I spoke with Marin quite a lot to make sure whatever we were building was useful and would solve the security problems that they had as well as our own ones so yeah I agree it needs to be proactive we're not gonna ship something's useful or that the infrastructure team is gonna want to opt into unless we've had a conversation with them in advance all right it's at 130 set can I add one like last time point it's sometimes really important for customers as well that we're running it on getlab.com before they adopt it so one example is we built ssltls support in Giddily but it's not turned on in getlab.com and so the customer that we built it for isn't using it because they're waiting for our production team to turn it on because they want to see before they turn it on for their enormous instance have we actually proven it at the world's largest getlab instance scale so I think that's one important reason why we always need to make sure that features are on and are getting used on getlab.com.",1.0
Yeah just one final thought on that like I love that it's a half an hour might almost even like take pick particular categories over over over uh um lengthening the time as an example just because I feel the feeling I had a feeling that if you want to watch it consistently it's going to be in that block but that's just me so like if uh you know other customers are uh you know saying send it with like the larger block then then that's the way way to go so that's that's where I love to get feedback in some fashion but get say okay you know here's how we should change it but we clearly have gone breathwise we've gone so much broader that it's going to be hard to cover all the topics in it.,1.0
"Third reminder, we've got a little engagement survey.",0.0
I first responded to my comment about why we have the low excitement ones and just said something about having them sort of stack ranked.,1.0
So just if you think it does a better job of describing it than the issue itself then use it.,1.0
Yeah I mean if there are some that relate to each other you could tell a story hey we're trying to prove this and then a b and c tie back to it.,1.0
And that's where you can describe what the heck of verify is or what the heck I managed.,1.0
There's something catchy about that.,1.0
We did that with our Terraform module.,0.0
And both Christie and I want to move off of that position like we should be customer first and treat our own teams as a customer but let's I don't I don't want people to interpret that our own internal opinion is worth 10 times more than a customer's opinion if that makes sense.,1.0
"Yeah, Gidops has been canceled after the enablement.",0.0
That was one of the big things.,0.0
And here's the one for the platform players.,0.0
What?,1.0
So it's nice to have another voice explaining all of that.,1.0
I agree.,0.0
It's five you know quick questions and then one free form where you can share whatever feedback you have.,1.0
I think this has always been a challenge in product even before I've joined GitLab for many people is how to how to get there on some of this terminology when those of us have deep technical background.,1.0
"So it looks like maybe a platform on reinvent, CICD on Google Next and Gidops on CUBECON.",1.0
